District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax
Abbotsford,MP,Ed Fast,Ed,Fast,,Conservative,ed.fast@parl.gc.ca,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/FastEd_CPC.jpg,http://www.parl.gc.ca/Parliamentarians/en/members/Ed-Fast(35904),http://edfast.ca,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 995-0183,1 613 996-9795,constituency,"2825 Clearbrook Road
(Main Office)
Suite 205
Abbotsford BC  V2T 6S3",1 604 557-7888,1 604 557-9918
Abitibi—Baie-James—Nunavik—Eeyou,MP,Romeo Saganash,Romeo,Saganash,,NDP,Romeo.Saganash@parl.gc.ca,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/SaganashRomeo_NDP.jpg,http://www.parl.gc.ca/Parliamentarians/en/members/Romeo-Saganash(71482),http://romeosaganash.ndp.ca,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-3030,1 613 996-0828,constituency,"888 3rd Avenue (Main Office)
Suite 204
Val-d'Or QC  J9P 5E6",1 819 824-2942,1 819 824-2958,constituency,"333 3rd Street
Suite 10
Chibougamau QC  G8P 1N4",1 418 748-7870,1 418 748-7413
Abitibi—Témiscamingue,MP,Christine Moore,Christine,Moore,,NDP,Christine.Moore@parl.gc.ca,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/MooreChristine_NPD.jpg,http://www.parl.gc.ca/Parliamentarians/en/members/Christine-Moore(232),http://christinemoore.ndp.ca,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 996-3250,1 613 992-3672,constituency,"33-A Gamble Street West (Main Office)
RC 15
Rouyn-Noranda QC  J9X 2R3",1 800 567-6433,1 819 762-8732,constituency,"3 Industrielle Street
Suite 7
Ville-Marie QC  J9V 1S3",1 819 629-2726,,constituency,"554 1st Avenue West
Suite 101
Amos QC  J9T 1V3",1 819 732-2266,,constituency,"81-A 5th Avenue East

La Sarre QC  J9Z 1T1",1 819 339-2266,
Acadie—Bathurst,MP,Serge Cormier,Serge,Cormier,,Liberal,Serge.Cormier@parl.gc.ca,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/CormierSerge_LIB.jpg,http://www.parl.gc.ca/Parliamentarians/en/members/Serge-Cormier(88350),http://scormier.liberal.ca/en,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-2165,1 613 992-4558,constituency,"220 St-Pierre Blvd West (Main Office)
Suite 314
Caraquet NB  E1W 1A5",1 800 992-5699,1 506 726-5394,constituency,"270 Douglas Ave
Suite 100
Bathurst NB  E2A 1M9",1 506 350-5398,1 506 546-3045
Ahuntsic-Cartierville,MP,Mélanie Joly,Mélanie,Joly,,Liberal,Melanie.Joly@parl.gc.ca,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/JolyMélanie_Lib.jpg,http://www.parl.gc.ca/Parliamentarians/en/members/Melanie-Joly(88384),http://mjoly.liberal.ca/en,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-0983,1 613 992-1932,constituency,"225 Chabanel West (Main Office)
Suite 1109
Montréal QC  H2N 2C9",1 514 383-3709,1 514 383-3589
Ajax,MP,Mark Holland,Mark,Holland,,Liberal,Mark.Holland@parl.gc.ca,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/HollandMark_Lib.jpg,http://www.parl.gc.ca/Parliamentarians/en/members/Mark-Holland(25508),http://markhollandmp.ca,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 995-8042,1 613 996-1289,constituency,"100 Old Kingston Road (Main Office)
Suite 1
Ajax ON  L1T 2Z9",1 905 426-6808,1 905 426-9564
Alfred-Pellan,MP,Angelo Iacono,Angelo,Iacono,,Liberal,Angelo.Iacono@parl.gc.ca,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/IaconoAngelo_Lib.jpg,http://www.parl.gc.ca/Parliamentarians/en/members/Angelo-Iacono(71337),http://aiacono.liberal.ca/en,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-0611,1 613 992-8556,constituency,"3131 de la Concorde East (Main Office)
Suite 300
Laval QC  H7E 4W4",1 450 661-4117,1 450 661-5623
Algoma—Manitoulin—Kapuskasing,MP,Carol Hughes,Carol,Hughes,,NDP,carol.hughes@parl.gc.ca,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/HughesCarol_NDP.jpg,http://www.parl.gc.ca/Parliamentarians/en/members/Carol-Hughes(31289),http://carolhughes.ndp.ca,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 996-5376,1 613 995-6661,constituency,"289 Hillside Drive South (Main Office)

Elliot Lake ON  P5A 1N7",1 705 848-8080,1 705 848-1818,constituency,"12-B Byng Road

Kapuskasing ON  P5N 1W3",1 705 335-5533,1 705 337-6869
Argenteuil—La Petite-Nation,MP,Stéphane Lauzon,Stéphane,Lauzon,,Liberal,Stephane.Lauzon@parl.gc.ca,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/LauzonStéphane_Lib.jpg,http://www.parl.gc.ca/Parliamentarians/en/members/Stephane-Lauzon(88394),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-0902,1 613 992-2935,constituency,"505 Bethany Avenue (Main Office)
Suite 204
Lachute QC  J8H 4A6",1 450 562-0737,1 450 562-2527,constituency,"127 Joseph Street

Gatineau QC  J8L 1G1",1 819 281-2626,1 819 281-2755
Aurora—Oak Ridges—Richmond Hill,MP,Leona Alleslev,Leona,Alleslev,,Liberal,Leona.Alleslev@parl.gc.ca,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/AlleslevLeona_Lib.jpg,http://www.parl.gc.ca/Parliamentarians/en/members/Leona-Alleslev(88671),http://leonaalleslevmp.ca,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-0700,1 613 992-0716,constituency,"12820 Yonge Street (Main Office)
Suite 202
Richmond Hill ON  L4E 4H1",1 905 773-8358,1 905 773-8374
Avalon,MP,Ken McDonald,Ken,McDonald,,Liberal,Ken.McDonald@parl.gc.ca,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/McDonaldKen_Lib.jpg,http://www.parl.gc.ca/Parliamentarians/en/members/Ken-McDonald(88283),http://kmcdonald.liberal.ca,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 992-4133,1 613 992-7277,constituency,"120 Conception Bay Highway (Main Office)
Suite 105
Conception Bay South NL  A1W 3A6",1 709 834-3424,1 709 834-3628
Avignon—La Mitis—Matane—Matapédia,MP,Rémi Massé,Rémi,Massé,,Liberal,Remi.Masse@parl.gc.ca,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/MasséRémi_Lib.jpg,http://www.parl.gc.ca/Parliamentarians/en/members/Remi-Masse(88397),,,,,,,legislature,"House of Commons
Ottawa ON  K1A 0A6",1 613 995-1013,1 613 995-5184,constituency,"290 Saint-Jérôme Avenue (Main Office)

Matane QC  G4W 3A9",1 418 562-0343,1 418 562-7655,constituency,"598 C Perron Blvd

Carleton-sur-Mer QC  G0C 1J0",1 418 364-6254,
